"Address was changed by %s","Adresse wurde geändert bei %s"
"Firstname was changed to %s","Vorname wurde auf %s geändert" 
"Lastname was changed to %s","Nachname wurde auf %s geändert" 
"Company was changed to %s","Firma wurde auf %s geändert" 
"Street was changed to %s","Straße wurde auf %s geändert" 
"City was changed to %s","Stadt wurde auf %s geändert" 
"Country was changed to %s","Land wurde auf %s geändert" 
"Postcode was changed to %s","PLZ wurde auf %s geändert" 
"Telephone was changed to %s","Telefon wurde auf %s geändert" 
"Fax was changed to %s","Fax wurde auf %s geändert" 
